Solution 1:
0 - 27
1 - 40
2 - 42
3 - 27
4 - 37
5 - 40
6 - 1
7 - 28
8 - 28
9 - 39
10 - 6
11 - 46
12 - 43
13 - 7
14 - 6
15 - 5
16 - 39
17 - 44
18 - 42
19 - 39
20 - 43
21 - 5
22 - 42
23 - 28
24 - 1
25 - 37
26 - 44
27 - 38
28 - 40
29 - 25
30 - 43
31 - 7
32 - 38
33 - 23
34 - 37
35 - 23
36 - 46
37 - 1
38 - 7
39 - 46
40 - 46
41 - 7
42 - 23
43 - 25
44 - 27
45 - 38
46 - 6
47 - 44
48 - 38
49 - 39
Power Wastage: 15.6011	Memory Wastage: 1.98979
Solution 2:
0 - 17
1 - 38
2 - 7
3 - 37
4 - 6
5 - 37
6 - 30
7 - 2
8 - 16
9 - 27
10 - 27
11 - 16
12 - 14
13 - 4
14 - 15
15 - 17
16 - 22
17 - 15
18 - 19
19 - 28
20 - 28
21 - 38
22 - 7
23 - 0
24 - 30
25 - 16
26 - 0
27 - 19
28 - 14
29 - 22
30 - 28
31 - 4
32 - 19
33 - 22
34 - 14
35 - 6
36 - 0
37 - 4
38 - 2
39 - 6
40 - 15
41 - 14
42 - 14
43 - 38
44 - 37
45 - 7
46 - 17
47 - 6
48 - 0
49 - 19
Power Wastage: 15.3339	Memory Wastage: 2.20806
Solution 3:
0 - 2
1 - 35
2 - 21
3 - 34
4 - 33
5 - 29
6 - 29
7 - 10
8 - 10
9 - 36
10 - 5
11 - 33
12 - 26
13 - 11
14 - 34
15 - 18
16 - 14
17 - 21
18 - 31
19 - 31
20 - 2
21 - 35
22 - 18
23 - 11
24 - 14
25 - 13
26 - 31
27 - 18
28 - 33
29 - 14
30 - 10
31 - 28
32 - 26
33 - 29
34 - 35
35 - 35
36 - 10
37 - 28
38 - 36
39 - 13
40 - 31
41 - 36
42 - 11
43 - 2
44 - 28
45 - 35
46 - 36
47 - 31
48 - 26
49 - 29
Power Wastage: 15.3042	Memory Wastage: 2.51041
